./bin/main
|      Test	|	 Heap Sort	|	Quick Sort	|	Merge Sort	|	  C++ Sort	|
|         1	|	    246164	|	     74686	|	     90680	|	     63824	|
|         2	|	    238124	|	     75617	|	     92259	|	     53503	|
|         3	|	    343172	|	    214189	|	    105722	|	    159313	|
|         4	|	    345579	|	    211241	|	    116714	|	    171257	|
|         5	|	    354949	|	    211443	|	    113060	|	    174318	|
|         6	|	    332927	|	    213689	|	    115544	|	    165048	|
|         7	|	    350604	|	    210804	|	    113343	|	    176167	|
|         8	|	    341927	|	    214735	|	    112085	|	    174300	|
|         9	|	    346721	|	    212828	|	    106877	|	    169471	|
|        10	|	    357147	|	    235488	|	    118808	|	    169749	|
